id,era,typology,total_floor_area_m2,is_high_potential,grid_id,baseline_energy_kwh,R1_savings_kwh,R2_savings_kwh,R3_savings_kwh,R4_savings_kwh,R5_savings_kwh,R5_heating_savings_kwh,R5_cooling_savings_kwh
646809748,era2,lowrise,5770.13,1,1196,1219979.04,59836.25,27465.82,36755.73,325550.73,421738.80,334609.84,63413.73
646809749,era2,lowrise,2237.82,0,1196,473143.30,23206.19,10652.02,14254.91,126257.80,163562.26,129771.18,24593.64
646809752,era3,midrise,377.25,0,1196,56742.70,1063.84,1233.61,184.85,8129.74,8865.38,5609.71,731.86
646809755,era1,lowrise,6148.12,1,1156,1605951.36,113678.74,62403.42,66891.55,550502.66,755419.50,594154.32,118597.23
646809759,era2,lowrise,3339.81,1,1155,706136.99,34633.83,15897.50,21274.59,188432.08,244106.71,193675.58,36704.51
646809761,era2,lowrise,5517.46,1,1196,1166556.29,57216.06,26263.11,35146.22,311295.09,403271.15,319957.51,60636.89
646809762,era2,lowrise,1808.48,0,1196,382367.34,18753.94,8608.36,11520.02,102034.44,132181.80,104873.76,19875.20
646809763,era2,lowrise,648.79,0,1196,137174.24,6727.95,3088.24,4132.79,36604.73,47420.06,37623.33,7130.20
646809764,era2,lowrise,727.04,0,1196,153718.20,7539.40,3460.71,4631.24,41019.60,53139.35,42161.05,7990.17
646809766,era2,lowrise,1689.97,0,1196,357310.34,17524.99,8044.26,10765.11,95348.11,123519.91,98001.36,18572.77
646809767,era2,lowrise,3312.02,1,1196,700259.92,34345.65,15765.22,21097.57,186864.17,242075.54,192064.04,36399.10
646809769,era2,lowrise,3099.09,1,1196,655241.27,32137.56,14751.67,19741.20,174850.66,226512.49,179716.23,34059.00
646809771,era2,midrise,3494.40,1,1196,738820.06,36236.93,16633.34,22259.33,197154.05,255405.70,202640.26,38403.46
646809772,era2,lowrise,2102.04,0,1196,444435.37,21798.15,10005.71,13389.99,118597.10,153638.10,121897.30,23101.42
646809773,era2,lowrise,3262.04,1,1196,689692.98,33827.35,15527.31,20779.19,184044.30,238422.50,189165.70,35849.82
646809774,era2,lowrise,2481.05,0,1196,524569.22,25728.49,11809.80,15804.29,139980.84,181339.94,143876.09,27266.74
646809775,era2,lowrise,3159.90,1,1196,668097.44,32768.16,15041.12,20128.56,178281.56,230957.09,183242.60,34727.30
646809776,era2,midrise,2724.77,1,1196,576098.99,28255.86,12969.91,17356.78,153731.52,199153.44,158009.41,29945.22
646809777,era2,lowrise,3202.56,1,1195,677116.52,33210.55,15244.19,20400.31,180688.44,234075.11,185716.45,35196.13
646809778,era2,lowrise,7745.36,1,1195,1637602.52,80319.38,36867.91,49337.94,436993.21,566108.36,449153.43,85121.51
646809779,era1,lowrise,2193.39,0,1195,572935.10,40555.78,22262.91,23864.08,196396.14,269501.83,211969.21,42310.49
646809780,era1,lowrise,1640.17,0,1195,428429.11,30326.74,16647.73,17845.05,146860.82,201527.69,158506.03,31638.88
646809781,era2,lowrise,9464.17,1,1195,2001009.34,98143.44,45049.45,60286.76,533968.47,691736.19,548827.22,104011.23
646809782,era1,lowrise,6364.33,1,1195,1662425.56,117676.46,64597.95,69243.91,569862.11,781985.23,615048.85,122767.93
646809785,era1,lowrise,5156.83,1,1155,1347014.63,95349.79,52341.82,56106.31,461742.56,633619.70,498356.05,99475.25
646809786,era2,lowrise,2499.50,0,1196,528470.07,25919.82,11897.62,15921.82,141021.79,182688.46,144946.01,27469.50
646809788,era3,midrise,1799.33,0,1155,270637.87,5074.11,5883.81,881.67,38775.56,42284.25,26756.04,3490.70
646809789,era3,midrise,7036.49,1,1154,1058358.31,19842.90,23009.32,3447.88,151636.36,165357.51,104632.61,13650.79
646809790,era3,midrise,3464.44,1,1154,521086.84,9769.72,11328.72,1697.58,74658.68,81414.34,51516.22,6721.01
646810344,era3,midrise,3271.54,1,1154,492072.39,9225.74,10697.94,1603.05,70501.69,76881.19,48647.80,6346.79
646810346,era3,midrise,2388.01,0,1154,359179.96,6734.19,7808.79,1170.12,51461.62,56118.24,35509.71,4632.74
646810348,era3,midrise,2054.19,0,1154,308971.26,5792.82,6717.20,1006.55,44267.79,48273.47,30545.81,3985.13
646810349,era2,midrise,2866.84,1,1154,606135.41,29729.13,13646.16,18261.77,161747.11,209537.34,166248.05,31506.57
646810351,era2,midrise,2180.17,0,1154,460953.25,22608.36,10377.61,13887.68,123005.19,159348.63,126428.06,23960.07
646826828,era3,midrise,2.20,0,1565,331.41,6.20,7.19,1.08,47.41,51.70,32.71,4.27
646826834,era3,midrise,2224.54,0,1565,334593.24,6273.20,7274.25,1090.02,47938.84,52276.69,33078.91,4315.61
646826836,era3,midrise,2837.01,1,1565,426714.39,8000.37,9277.02,1390.13,61137.57,66669.74,42186.34,5503.80
646826838,era2,midrise,2372.21,0,1565,501556.10,24599.82,11291.72,15110.98,133840.09,173384.83,137564.46,26070.59
646826839,era3,midrise,1711.71,0,1565,257458.67,4827.02,5597.29,838.74,36887.35,40225.18,25453.13,3320.72
646826841,era3,midrise,2102.11,0,1565,316178.72,5927.95,6873.90,1030.03,45300.47,49399.59,31258.38,4078.09
646826843,era2,midrise,2352.87,0,1565,497468.33,24399.26,11199.66,14987.78,132748.93,171971.27,136442.93,25858.04
646826844,era3,midrise,1822.89,0,1565,274180.54,5140.55,5960.85,893.22,39283.28,42837.92,27106.37,3536.41
646826845,era2,midrise,2739.61,1,1565,579236.35,28409.76,13040.54,17451.32,154568.80,200238.09,158869.98,30108.31
646826846,era2,midrise,2352.62,0,1565,497414.95,24396.67,11198.47,14986.19,132734.82,171953.00,136428.43,25855.29
646826847,era2,midrise,3166.59,1,1565,669511.21,32837.54,15072.97,20171.18,178659.01,231446.06,183630.55,34800.82
646826848,era2,midrise,3246.84,1,1565,686479.66,33669.73,15454.96,20682.37,183186.71,237311.54,188284.25,35682.77
646826849,era2,midrise,3882.71,1,1565,820921.93,40263.70,18481.70,24732.86,219062.50,283787.27,225158.35,42670.98
646826850,era2,midrise,3409.24,1,1565,720815.17,35353.82,16227.98,21716.86,192349.32,249181.35,197701.83,37467.55
646826851,era2,midrise,3397.89,1,1565,718414.87,35236.12,16173.96,21644.56,191708.95,248351.78,197043.64,37342.81
646826852,era2,midrise,3782.45,1,1565,799723.04,39224.01,18004.46,24094.21,213405.83,276459.27,219344.28,41569.13
646826853,era2,midrise,3010.02,1,1565,636409.16,31213.91,14327.70,19173.83,169825.33,220002.36,174551.06,33080.12
646826854,era2,midrise,4902.04,1,1565,1036437.80,50834.15,23333.71,31225.99,276573.10,358290.10,284269.30,53873.42
646826855,era3,midrise,3672.06,1,1565,552315.01,10355.21,12007.64,1799.31,79132.89,86293.41,54603.53,7123.80
646826856,era3,midrise,4445.91,1,1565,668708.95,12537.47,14538.13,2178.50,95809.36,104478.88,66110.68,8625.07
646826857,era3,midrise,1783.20,0,1564,268211.38,5028.62,5831.06,873.77,38427.96,41905.20,26516.18,3459.41
646826858,era3,midrise,5109.04,1,1564,768450.88,14407.49,16706.56,2503.43,110099.81,120062.44,75971.42,9911.54
646826859,era3,midrise,5782.76,1,1564,869785.02,16307.38,18909.63,2833.55,124618.48,135894.86,85989.64,11218.55
646826860,era3,midrise,2233.89,0,1564,335999.75,6299.57,7304.82,1094.61,48140.33,52496.41,33217.94,4333.75
646826861,era3,midrise,1985.97,0,1565,298709.74,5600.44,6494.12,973.13,42797.65,46670.29,29531.37,3852.78
646826862,era3,midrise,1886.18,0,1564,283700.96,5319.03,6167.81,924.23,40647.18,44325.23,28047.50,3659.19
646826868,era3,midrise,5419.17,1,1564,815097.39,15282.06,17720.69,2655.39,116783.11,127350.49,80583.06,10513.19
646826869,era3,midrise,7036.13,1,1564,1058304.86,19841.89,23008.15,3447.70,151628.60,165349.05,104627.25,13650.09
646826870,era3,midrise,3551.90,1,1564,534241.95,10016.36,11614.71,1740.43,76543.44,83469.65,52816.75,6890.69
646826871,era3,midrise,2200.09,0,1564,330915.78,6204.25,7194.29,1078.04,47411.94,51702.12,32715.34,4268.17
646826872,era3,midrise,3018.27,1,1564,453978.64,8511.52,9869.74,1478.95,65043.72,70929.35,44881.67,5855.44
646826873,era3,midrise,3373.22,1,1564,507366.48,9512.48,11030.43,1652.88,72692.89,79270.67,50159.78,6544.05
646826874,era3,midrise,3785.32,1,1564,569350.32,10674.60,12378.00,1854.81,81573.65,88955.02,56287.71,7343.52
646826875,era3,midrise,3291.65,1,1564,495096.94,9282.45,10763.70,1612.91,70935.06,77353.78,48946.84,6385.80
646826876,era3,midrise,5190.01,1,1564,780628.94,14635.83,16971.33,2543.10,111844.72,121965.24,77175.45,10068.62
646826877,era3,midrise,4057.59,1,1564,610301.59,11442.40,13268.32,1988.22,87441.06,95353.37,60336.36,7871.72
646826878,era3,midrise,2384.53,0,1564,358657.41,6724.37,7797.41,1168.42,51386.62,56036.46,35457.96,4625.99
646826879,era3,midrise,1782.78,0,1564,268147.63,5027.44,5829.69,873.56,38418.91,41895.33,26509.94,3458.59
646826880,era3,midrise,1736.58,0,1564,261198.34,4897.16,5678.62,850.92,37423.30,40809.63,25822.94,3368.97
646826881,era3,midrise,1546.54,0,1564,232615.06,4361.24,5057.19,757.80,33327.94,36343.69,22997.05,3000.29
646826882,era1,lowrise,2211.73,0,1565,577725.33,40894.89,22449.06,24063.62,198038.30,271755.27,213741.59,42664.27
646826883,era2,midrise,2633.89,0,1565,556884.20,27313.44,12537.32,16777.88,148604.07,192511.02,152739.28,28946.45
646826884,era2,midrise,3389.62,1,1565,716667.80,35150.36,16134.59,21591.88,191242.36,247747.33,196564.06,37251.92
646826885,era3,midrise,2018.74,0,1565,303639.42,5692.85,6601.28,989.18,43503.85,47440.39,30018.66,3916.36
646826886,era2,midrise,3787.81,1,1565,800855.64,39279.59,18029.98,24128.35,213708.24,276851.03,219655.10,41628.03
646826887,era2,lowrise,2744.21,1,1606,580208.02,28457.46,13062.44,17480.62,154828.33,200574.31,159136.74,30158.87
646826888,era2,midrise,2737.18,1,1565,578722.27,28384.56,13028.98,17435.84,154431.70,200060.49,158729.07,30081.61
646826889,era2,lowrise,4122.54,1,1565,871629.28,42750.74,19623.29,26260.58,232593.71,301316.45,239066.09,45306.71
646826890,era2,lowrise,3320.61,1,1565,702077.30,34434.73,15806.10,21152.29,187348.82,242703.38,192562.17,36493.50
646826891,era2,lowrise,2389.15,0,1565,505138.04,24775.49,11372.35,15218.89,134795.84,174622.97,138546.81,26256.76
646826892,era2,lowrise,2331.43,0,1565,492934.22,24176.93,11097.61,14851.21,131539.28,170404.22,135199.63,25622.42
646826893,era2,lowrise,1637.18,0,1565,346148.55,16977.56,7792.98,10428.84,92369.70,119661.49,94940.07,17992.61
646826894,era2,lowrise,2507.54,0,1565,530169.66,26003.19,11935.89,15973.03,141475.41,183276.10,145412.24,27557.86
646826895,era2,lowrise,2250.21,0,1565,475762.08,23334.68,10711.00,14333.84,126956.85,164467.85,130489.68,24729.81
646826896,era2,lowrise,2841.58,1,1565,600794.88,29467.18,13525.92,18100.86,160321.94,207691.08,164783.22,31228.96
646826902,era2,lowrise,4674.67,1,1648,988365.56,48476.33,22251.43,29777.65,263744.88,341671.63,271084.11,51374.62
646826903,era2,lowrise,3403.92,1,1648,719691.82,35298.65,16202.66,21682.97,192049.17,248792.51,197393.32,37409.08
646826904,era2,lowrise,3546.68,1,1648,749875.18,36779.07,16882.20,22592.35,200103.69,259226.84,205671.97,38978.01
646826905,era2,lowrise,6592.12,1,1648,1393770.91,68360.28,31378.49,41991.80,371927.41,481818.05,382277.04,72447.40
646826906,era2,lowrise,4513.38,1,1648,954264.18,46803.75,21483.69,28750.23,254644.90,329882.94,261730.91,49602.05
646826907,era2,lowrise,2296.73,0,1607,485598.65,23817.09,10932.43,14630.17,129581.51,167868.00,133187.37,25241.06
646826908,era2,lowrise,3349.44,1,1607,708172.15,34733.69,15943.33,21335.93,188975.40,244810.57,194234.03,36810.35
646826909,era1,lowrise,2625.30,0,1607,685755.39,48541.80,26646.79,28563.26,235069.36,322570.61,253708.99,50642.04
646826910,era1,lowrise,9338.83,1,1607,2439396.11,172674.97,94789.12,101606.47,836198.84,1147462.04,902504.53,180146.03
646826911,era1,lowrise,45042.12,1,1606,11765452.56,832828.80,457177.52,490058.27,4033071.42,5534325.28,4352870.48,868862.49
646826912,era2,lowrise,3204.82,1,1607,677595.51,33233.98,15254.94,20414.70,180815.94,234240.29,185847.51,35220.97
646826913,era1,lowrise,1648.94,0,1607,430719.14,30488.90,16736.74,17940.47,147646.09,202605.26,159353.56,31808.05
646826915,era2,lowrise,6017.41,1,1606,1272260.43,62400.54,28642.87,38330.90,339502.27,439812.50,348949.61,66131.34
646826916,era1,lowrise,5742.14,1,1607,1499903.13,106172.17,58282.72,62474.48,514151.22,705536.74,554920.41,110765.88
646826918,era1,lowrise,5808.94,1,1607,1517352.47,107407.30,58960.74,63201.27,520132.49,713744.46,561375.96,112054.45
646826919,era1,lowrise,2486.16,0,1606,649409.73,45969.10,25234.52,27049.42,222610.77,305474.48,240262.50,47958.03
646826920,era1,lowrise,3972.30,1,1606,1037603.25,73447.83,40318.84,43218.62,355679.74,488076.50,383883.07,76625.67
646826921,era1,lowrise,1422.39,0,1606,371541.60,26299.99,14437.26,15475.60,127360.80,174769.06,137459.77,27437.90
646826922,era1,lowrise,1782.19,0,1606,465524.77,32952.69,18089.23,19390.23,159577.29,218977.69,172230.84,34378.45
646826923,era1,lowrise,2073.65,0,1606,541658.05,38341.79,21047.55,22561.31,185674.62,254789.38,200397.54,40000.71
646826924,era1,lowrise,2136.53,0,1606,558082.31,39504.44,21685.78,23245.45,191304.90,262515.44,206474.26,41213.66
646826925,era2,lowrise,930.77,0,1606,196793.48,9652.08,4430.47,5929.00,52514.04,68029.98,53975.35,10229.16
646826926,era2,lowrise,1455.21,0,1606,307675.38,15090.53,6926.80,9269.69,82102.95,106361.30,84387.63,15992.76
646826929,era2,lowrise,3706.62,1,1647,783691.64,38437.65,17643.51,23611.17,209127.50,270916.86,214946.89,40735.75
646826930,era2,lowrise,4459.46,1,1647,942863.06,46244.60,21227.03,28406.76,251602.73,325941.93,258604.09,49009.47
646826931,era2,lowrise,2739.19,1,1647,579146.02,28405.40,13038.54,17448.64,154545.10,200207.40,158845.63,30103.70
646826932,era2,lowrise,7252.21,1,1647,1533335.11,75205.42,34520.52,46196.58,409169.69,530064.03,420555.66,79701.79
646826935,era1,lowrise,2222.21,0,1647,580462.93,41088.66,22555.43,24177.64,198976.68,273042.94,214754.37,42866.43
646826936,era2,lowrise,1194.67,0,1647,252589.78,12388.73,5686.63,7610.05,67403.28,87318.43,69278.91,13129.42
646826939,era1,lowrise,3839.78,1,1647,1002989.25,70997.53,38973.77,41776.81,343813.90,471793.77,371076.34,74069.36
646826941,era2,lowrise,4131.96,1,1647,873621.28,42848.43,19668.13,26320.59,233125.18,302004.96,239612.36,45410.24
646826943,era1,lowrise,4121.61,1,1647,1076606.25,76208.57,41834.34,44843.12,369048.96,506422.22,398312.39,79505.86
646826946,era2,lowrise,1712.66,0,1687,362107.39,17760.28,8152.26,10909.64,96628.28,125178.32,99317.15,18822.13
646826956,era2,lowrise,1306.13,0,1604,276154.10,13544.57,6217.18,8320.05,73691.85,95465.04,75742.48,14354.37
646826957,era2,lowrise,2545.78,0,1604,538254.60,26399.74,12117.91,16216.62,143632.91,186071.06,147629.78,27978.12
646826960,era3,lowrise,337.05,0,1604,50695.76,950.48,1102.15,165.15,7263.43,7920.68,5011.93,653.88
646826961,era2,lowrise,2477.70,0,1604,523860.38,25693.75,11793.85,15782.95,139791.83,181095.09,143681.82,27229.92
646826963,era3,lowrise,1955.99,0,1649,294201.02,5515.89,6396.09,958.44,42151.58,45965.76,29085.57,3794.62
646826965,era3,lowrise,4475.21,1,1649,673115.78,12620.09,14633.94,2192.85,96440.78,105167.43,66546.37,8681.91
646826967,era3,lowrise,2210.93,0,1649,332546.31,6234.82,7229.74,1083.36,47645.54,51956.85,32876.53,4289.20
646826968,era3,lowrise,6552.76,1,1649,985600.40,18478.78,21427.53,3210.85,141211.98,153989.86,97439.54,12712.35
646826970,era3,midrise,3416.19,1,1649,513828.65,9633.66,11170.94,1673.93,73618.89,80280.46,50798.75,6627.41
646826972,era2,lowrise,4040.86,1,1649,854358.75,41903.72,19234.49,25740.28,227985.32,295346.46,234329.47,44409.05
646826975,era2,lowrise,6718.39,1,1649,1420469.27,69669.70,31979.54,42796.14,379051.56,491047.13,389599.44,73835.11
646826976,era3,lowrise,11619.83,1,1649,1747738.39,32767.92,37996.84,5693.72,250407.34,273066.01,172786.87,22542.47
646826977,era2,lowrise,5991.13,1,1649,1266703.73,62128.02,28517.78,38163.50,338019.55,437891.69,347425.63,65842.52
646826978,era3,lowrise,2705.78,1,1649,406977.03,7630.30,8847.90,1325.83,58309.56,63585.83,40234.95,5249.21
646826979,era3,lowrise,3330.34,1,1649,500917.18,9391.56,10890.21,1631.87,71768.83,78262.99,49522.16,6460.86
646826980,era3,lowrise,15033.39,1,1649,2261172.25,42394.16,49159.19,7366.36,323969.55,353284.66,223546.51,29164.78
646826981,era3,lowrise,2607.70,0,1649,392224.81,7353.71,8527.18,1277.77,56195.93,61280.95,38776.50,5058.94
646826982,era3,lowrise,2673.01,1,1649,402048.14,7537.89,8740.74,1309.77,57603.37,62815.74,39747.66,5185.64
646826983,era2,lowrise,2723.05,1,1649,575734.43,28238.03,12961.72,17345.83,153634.48,199027.72,157909.67,29926.32
646826985,era2,lowrise,2669.29,1,1648,564367.44,27680.54,12705.82,17003.38,150601.34,195098.41,154792.13,29335.50
646826986,era2,lowrise,1985.40,0,1648,419772.21,20588.60,9450.50,12647.00,112016.27,145112.89,115133.35,21819.55
646826987,era2,lowrise,2785.24,1,1648,588883.69,28882.94,13257.74,17741.98,157143.24,203573.19,161516.07,30609.79
646826994,era2,lowrise,721.08,0,1647,152458.14,7477.60,3432.34,4593.28,40683.33,52703.74,41815.43,7924.67
646826995,era2,lowrise,1028.52,0,1647,217460.46,10665.75,4895.76,6551.67,58029.10,75174.53,59643.87,11303.43
646826996,era2,lowrise,494.75,0,1647,104605.45,5130.56,2355.01,3151.56,27913.80,36161.28,28690.55,5437.30
646826997,era2,lowrise,423.82,0,1647,89607.25,4395.01,2017.38,2699.73,23911.92,30977.00,24577.32,4657.78
646826998,era2,lowrise,551.03,0,1647,116503.57,5714.18,2622.90,3510.06,31089.11,40274.78,31954.23,6055.82
646827005,era3,lowrise,1236.64,0,1606,186002.28,3487.32,4043.81,605.95,26649.59,29061.04,18388.84,2399.08
646827008,era3,midrise,2988.29,1,1564,449469.15,8426.98,9771.71,1464.26,64397.65,70224.82,44435.87,5797.28
646827009,era2,midrise,3419.45,1,1564,722975.15,35459.70,16276.58,21781.90,192925.37,249927.60,198293.91,37579.76
646827010,era3,midrise,1763.77,0,1564,265287.98,4973.83,5767.53,864.25,38009.24,41448.60,26227.26,3421.71
646827011,era3,midrise,3550.76,1,1564,534070.47,10013.14,11610.99,1739.87,76518.88,83442.86,52799.80,6888.47
646827012,era3,midrise,1613.05,0,1564,242618.17,4548.80,5274.67,790.39,34761.23,37906.67,23986.05,3129.32
646827013,era3,midrise,2156.68,0,1563,324386.23,6081.84,7052.34,1056.77,46476.45,50681.98,32069.83,4183.96
646827014,era3,midrise,3137.41,1,1563,471898.14,8847.50,10259.33,1537.33,67611.19,73729.13,46653.29,6086.58
646827015,era3,lowrise,3045.77,1,1564,458113.90,8589.07,9959.67,1492.43,65636.34,71575.60,45290.60,5908.79
646827016,era3,lowrise,2755.81,1,1564,414501.06,7771.38,9011.50,1350.35,59387.71,64761.53,40978.89,5346.27
646827017,era3,midrise,1986.02,0,1564,298716.55,5600.58,6494.29,973.15,42798.73,46671.47,29532.12,3852.88
646827018,era3,midrise,4461.22,1,1564,671012.08,12580.64,14588.19,2186.00,96139.29,104838.67,66338.34,8654.77
646827019,era3,midrise,2081.19,0,1564,313031.32,5868.96,6805.49,1019.78,44849.64,48907.97,30947.30,4037.51
646827020,era3,midrise,2435.56,0,1564,366332.57,6868.28,7964.28,1193.42,52486.32,57235.66,36216.78,4724.99
646827021,era3,midrise,3630.26,1,1564,546027.71,10237.33,11870.95,1778.83,78232.10,85311.11,53981.97,7042.70
646827022,era3,midrise,2371.58,0,1564,356709.51,6687.86,7755.07,1162.07,51107.55,55732.13,35265.39,4600.87
646827023,era3,midrise,1956.54,0,1564,294282.78,5517.44,6397.89,958.70,42163.44,45978.69,29093.75,3795.69
646827024,era3,midrise,2673.05,1,1563,402053.74,7538.00,8740.87,1309.79,57604.23,62816.68,39748.25,5185.72
646827025,era3,midrise,2233.64,0,1563,335962.27,6298.86,7304.00,1094.48,48134.94,52490.54,33214.23,4333.26
646827027,era3,lowrise,3188.44,1,1605,479573.86,8991.40,10426.20,1562.34,68710.88,74928.34,47412.10,6185.57
646827028,era3,lowrise,860.50,0,1605,129427.33,2426.61,2813.84,421.65,18543.77,20221.75,12795.64,1669.37
646827029,era3,lowrise,3210.97,1,1605,482962.41,9054.94,10499.87,1573.38,69196.40,75457.79,47747.12,6229.28
646827030,era3,lowrise,2027.52,0,1605,304959.64,5717.61,6629.99,993.48,43693.06,47646.72,30149.22,3933.39
646827031,era3,lowrise,3344.86,1,1605,503100.63,9432.51,10937.69,1638.98,72081.73,78604.21,49738.07,6489.03
646827032,era2,lowrise,2891.36,1,1605,611320.15,29983.40,13762.87,18417.96,163130.53,211329.50,167669.97,31776.05
646827033,era3,lowrise,3116.71,1,1604,468784.59,8789.12,10191.64,1527.19,67165.10,73242.68,46345.48,6046.42
646827034,era3,lowrise,6372.18,1,1604,958439.27,17969.55,20837.03,3122.37,137320.48,149746.23,94754.32,12362.03
646827035,era3,lowrise,4457.11,1,1605,670393.74,12569.05,14574.75,2183.98,96050.72,104742.08,66277.23,8646.79
646827036,era3,lowrise,658.19,0,1604,98997.64,1856.10,2152.28,322.51,14183.99,15467.47,9787.29,1276.89
646827038,era2,lowrise,4571.61,1,1563,966576.14,47407.60,21760.86,29121.16,257930.24,334138.97,265107.66,50241.99
646827039,era2,lowrise,3206.31,1,1563,677910.25,33249.43,15262.04,20424.19,180900.01,234349.20,185933.92,35237.35
646827040,era3,lowrise,4564.03,1,1604,686475.29,12870.56,14924.38,2236.37,98354.85,107254.70,67867.13,8854.22
646827041,era3,lowrise,3306.12,1,1604,497273.47,9323.26,10811.01,1620.00,71246.89,77693.82,49162.00,6413.87
646827042,era3,lowrise,3797.85,1,1604,571234.75,10709.94,12418.97,1860.95,81843.67,89249.47,56474.03,7367.83
646827043,era2,lowrise,8110.83,1,1563,1714873.26,84109.31,38607.55,51665.99,457613.03,592820.56,470347.03,89138.02
646827045,era2,lowrise,1230.08,0,1563,260075.49,12755.93,5855.18,7835.61,69401.11,89906.55,71332.34,13518.58
646827046,era2,lowrise,1797.47,0,1563,380039.05,18639.76,8555.96,11449.88,101413.26,131377.08,104235.29,19754.20
646827047,era2,lowrise,1282.44,0,1563,271146.15,13298.90,6104.41,8169.14,72355.26,93733.54,74368.70,14094.02
646827048,era3,lowrise,1767.05,0,1562,265781.63,4983.08,5778.25,865.85,38079.93,41525.67,26276.03,3428.08
646827049,era3,lowrise,654.31,0,1603,98414.27,1845.15,2139.59,320.61,14100.38,15376.28,9729.59,1269.36
646827050,era3,lowrise,503.30,0,1603,75701.43,1419.31,1645.79,246.62,10846.11,11827.55,7484.07,976.40
646827052,era3,lowrise,1177.87,0,1603,177162.79,3321.59,3851.63,577.16,25383.10,27679.94,17514.93,2285.07
646827054,era3,lowrise,1216.31,0,1603,182945.04,3429.99,3977.33,595.99,26211.48,28583.28,18086.53,2359.64
646827055,era3,lowrise,2282.27,0,1603,343276.49,6436.00,7463.02,1118.31,49182.92,53633.35,33937.35,4427.60
646827058,era3,lowrise,2940.57,1,1603,442290.84,8292.41,9615.66,1440.88,63369.28,69103.40,43726.28,5704.71
646859549,era1,lowrise,3773.59,1,1208,985698.41,69773.68,38301.94,41056.66,337887.25,463661.00,364679.74,72792.55
646859550,era1,lowrise,2520.31,0,1208,658331.19,46600.53,25581.15,27420.97,225668.56,309670.49,243562.76,48616.78
646859551,era1,lowrise,6407.03,1,1208,1673581.24,118465.98,65031.35,69708.49,573685.47,787231.78,619175.38,123591.61
646859552,era1,lowrise,2177.98,0,1208,568909.88,40270.85,22106.50,23696.42,195016.33,267608.40,210479.99,42013.23
646859555,era1,lowrise,13565.73,1,1208,3543505.16,250830.35,137692.16,147595.14,1214675.46,1666821.25,1310992.15,261682.93
646859557,era1,midrise,15178.58,1,1208,3964798.08,280651.94,154062.59,165142.95,1359090.05,1864992.12,1466857.97,292794.81
646859559,era1,highrise,2249.48,0,1207,587586.93,41592.89,22832.22,24474.34,201418.44,276393.61,217389.75,43392.47
646859562,era1,lowrise,3587.79,1,1207,937166.74,66338.24,36416.07,39035.16,321250.72,440831.76,346724.03,69208.47
646859564,era2,lowrise,3918.03,1,1166,828388.56,40629.97,18649.82,24957.85,221055.25,286368.81,227206.56,43059.15
646859565,era1,lowrise,5710.41,1,1166,1491615.02,105585.48,57960.66,62129.26,511310.11,701638.08,551854.02,110153.81
646859566,era1,highrise,11618.52,1,1125,3034874.64,214826.43,117927.98,126409.50,1040322.28,1427567.55,1122813.77,224121.25
646859568,era2,midrise,19809.74,1,1124,4188373.88,205427.00,94294.36,126188.04,1117665.53,1447893.90,1148766.82,217709.04
646859569,era1,lowrise,14869.98,1,1083,3884187.68,274945.93,150930.30,161785.38,1331458.01,1827074.44,1437034.87,286841.91
646859578,era1,lowrise,12970.94,1,1043,3388140.17,239832.68,131655.04,141123.83,1161417.97,1593739.40,1253511.64,250209.43
646859580,era1,lowrise,91872.29,1,1003,23997959.92,1698718.64,932503.74,999570.52,8226244.85,11288348.27,8878538.11,1772216.47
646859582,era1,lowrise,13251.69,1,999,3461473.45,245023.75,134504.65,144178.39,1186556.32,1628235.15,1280643.32,255625.10
646871386,era1,lowrise,1103.48,0,1002,288240.08,20403.35,11200.32,12005.86,98805.60,135584.59,106640.31,21286.13
646871421,era1,midrise,27882.39,1,1123,7283160.39,515545.39,283006.26,303360.40,2496589.20,3425909.26,2694554.17,537851.30
646871428,era1,highrise,77048.55,1,1204,20125850.88,1424627.69,782042.78,838288.22,6898927.17,9466955.34,7445971.87,1486266.53
647154997,era2,lowrise,1754.84,0,1297,371026.45,18197.69,8353.04,11178.33,99008.07,128261.26,101763.17,19285.69
647154998,era3,midrise,1636.38,0,1297,246128.17,4614.59,5350.96,801.83,35263.99,38454.93,24332.97,3174.58
647154999,era3,midrise,1826.92,0,1297,274786.75,5151.91,5974.03,895.19,39370.13,42932.62,27166.30,3544.22
647155000,era3,midrise,1806.05,0,1297,271648.38,5093.06,5905.78,884.96,38920.38,42442.17,26855.96,3503.74
647155001,era3,midrise,1710.73,0,1296,257310.77,4824.26,5594.09,838.26,36866.23,40202.15,25438.56,3318.82
647155002,era2,lowrise,1450.44,0,1338,306665.80,15041.06,6904.09,9239.30,81833.82,106012.66,84111.02,15940.34
647155004,era3,midrise,1364.06,0,1338,205168.37,3846.65,4460.48,668.39,29395.49,32055.41,20283.57,2646.28
647155006,era3,midrise,1487.30,0,1297,223704.76,4194.19,4863.47,728.78,32051.31,34951.55,22116.15,2885.36
647155008,era3,midrise,2257.68,0,1338,339577.26,6366.66,7382.61,1106.26,48653.00,53055.48,33571.70,4379.90
647155010,era2,lowrise,5853.95,1,1297,1237700.42,60705.46,27864.80,37289.66,330279.86,427865.21,339470.56,64334.91
647155012,era3,midrise,4918.82,1,1338,739840.45,13871.07,16084.54,2410.22,106000.57,115592.27,73142.85,9542.51
647155015,era3,midrise,3021.14,1,1337,454409.73,8519.61,9879.13,1480.36,65105.57,70996.79,44924.35,5861.01
